City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Max Temperature
zhashkiv,,86,12,15.68,49.25,30.1,45.01
calbuco,,57,75,9.17,-41.77,-73.13,51.8
necochea,,50,0,13.89,-38.55,-58.74,56.8
plouzane,,100,90,5.82,48.38,-4.62,55.4
shahr-e kord,,27,0,4.7,32.33,50.85,53.6
severo-kurilsk,,100,64,24.18,50.68,156.12,46.63
neftcala,,98,0,5.84,39.37,49.25,69.04
dobre miasto,,92,92,14.67,53.99,20.4,46.27
mount pleasant,,54,1,9.17,33.16,-94.97,87.98
soe,,87,90,6.93,57.91,26.05,42.8
floro,,81,92,9.17,61.6,5.03,44.6
linxia,,76,8,2.37,35.6,103.21,25.21
ornskoldsvik,,100,0,5.82,63.29,18.72,32.0
tucurui,,60,8,2.15,-3.77,-49.67,88.21
atar,,28,76,3.6,20.52,-13.05,85.87
assiniboia,,87,0,15.9,49.63,-105.99,33.94
kermen,,65,12,6.96,42.51,26.26,51.94
narrabri,,64,100,3.15,-30.33,149.78,63.82
dengfeng,,78,0,2.37,34.46,113.03,44.38
mokokchung,,91,36,1.36,26.32,94.52,60.58
xam nua,,96,36,1.92,20.42,104.04,58.42
ames,,58,90,14.99,42.03,-93.62,87.8
srednekolymsk,,87,76,2.71,67.46,153.71,28.99
beyneu,,50,20,5.17,45.32,55.19,56.62
umm kaddadah,,47,0,8.63,13.6,26.69,81.55
rawson,,28,24,14.56,-43.3,-65.11,62.56
bodri,,79,0,2.71,23.17,81.43,69.76
silute,,84,92,20.38,55.35,21.48,48.61
valentin gomez farias,,31,40,3.36,24.05,-104.7,77.0
chegdomyn,,74,0,2.48,51.13,133.04,27.01
saint marys,,65,1,5.82,41.43,-78.56,71.06
grand gaube,,82,20,9.17,-20.01,57.66,62.6
zhigansk,,100,88,1.59,66.77,123.37,33.76
elizabeth city,,50,1,3.71,36.3,-76.22,87.98
itupiranga,,55,0,6.93,-5.13,-49.33,89.6
ambilobe,,66,100,10.42,-13.19,49.05,76.33
visnes,,87,64,9.17,59.36,5.22,42.8
santa rosa,,27,0,12.77,-36.62,-64.29,65.08
tuy hoa,,100,92,7.85,13.08,109.3,74.98
piacabucu,,67,0,12.44,-10.41,-36.43,79.21
ancud,,72,44,5.84,-41.87,-73.83,51.22
uthal,,90,32,3.15,25.81,66.62,70.21
blackfalds,,55,40,6.93,52.38,-113.8,35.6
masindi,,95,80,3.71,1.69,31.72,63.55
yibin,,95,48,2.59,28.77,104.64,54.73
palana,,95,80,4.16,59.08,159.95,40.42
synya,,97,92,7.96,65.37,58.04,42.4
silifke,,95,0,0.69,36.38,33.93,61.39
haines junction,,57,24,2.71,60.75,-137.51,38.26
port blair,,95,32,6.06,11.67,92.75,86.41
tashtyp,,92,64,2.93,52.8,89.89,30.34
mayumba,,99,12,4.61,-3.44,10.65,75.07
belyy yar,,93,40,7.4,53.6,91.39,39.2
puerto ayacucho,,59,40,5.82,5.66,-67.63,89.6
trincomalee,,98,92,2.59,8.58,81.23,76.51
aksarka,,97,92,10.76,66.56,67.8,39.34
